2680,134,938.0,26812
2690,135,938.0,26912
2710,135,938.0,27112
2720,136,938.0,27212
2730,136,938.0,27312
2740,137,940.0,27412
2750,137,940.0,27512
2760,137,942.0,27612
2770,138,942.0,27712
2780,138,942.0,27812
2790,138,942.0,27912
2810,139,942.0,28112
2820,139,942.0,28212
2830,140,942.0,28312
2840,140,942.0,28412
2850,140,942.0,28512
2860,141,942.0,28612
2870,141,942.0,28712
2880,141,942.0,28812
2890,142,942.0,28912
2910,142,942.0,29112
2920,143,942.0,29212
2930,143,942.0,29312
2940,143,942.0,29412
2950,144,942.0,29512
2960,145,942.0,29612
2970,145,942.0,29712
2980,147,942.0,29812
2990,148,942.0,29912
