Iteration,Train MSE,Validation MSE,Test MSE,Train Accuracy,Validation Accuracy,Test Accuracy,Train F1 Score,Validation F1 Score,Test F1 Score,Time
10,0.1711098784519284,0.1619058991835351,0.16897827745480695,0.5718727915194346,0.5969474279253816,0.5829941203075532,0.5482461783832212,0.590145805856167,0.5661551101592915,39120
20,0.1478567981656041,0.1449220422240455,0.14361931323656155,0.5387985865724382,0.5534200113058225,0.5409317051108096,0.5177997638597658,0.5303134261107614,0.5197789035538876,73111
30,0.0943020546189771,0.09073677310442513,0.10014801200945328,0.7071378091872792,0.7184850197851894,0.6897331524197196,0.7057198848185491,0.7175203072446742,0.6905862723283046,107746
40,0.07510745932775288,0.07465834422523353,0.07525573383216935,0.7787985865724382,0.78631995477671,0.7815468113975577,0.782760611062093,0.7903401346100494,0.7838643088029459,142867
50,0.07026286443482703,0.07094880575872274,0.07001176647363513,0.793922261484099,0.7784058790276993,0.7937584803256446,0.7962258988114272,0.7811277342410204,0.7985924860130151,176766
60,0.06819893922212829,0.063769290709012,0.06859138927202334,0.8039575971731449,0.817976257772753,0.8055178652193578,0.8008430631449657,0.8149076077194667,0.8031062363184596,211309
70,0.07918805595815427,0.076277218547206,0.07598946722673289,0.7769611307420494,0.7801017524024872,0.788783355947535,0.7783132400628049,0.7795536390167036,0.7926492814632136,244125
80,0.07673345209932765,0.07225090061243783,0.07192162355658549,0.7843109540636043,0.7998869417750142,0.7996381727725012,0.7920746163539409,0.8083997576704873,0.804702033655183,279007
90,0.057708132910485446,0.052183440590027344,0.05774642497354558,0.8370318021201414,0.8535895986433013,0.8389868837630031,0.843117272538388,0.8585604715728398,0.8476659169323137,312813
110,0.05525023883564223,0.0516798479006414,0.05603031436708964,0.8404240282685512,0.8468061051441492,0.8421528720036183,0.839282350300115,0.8446074691929836,0.8417655677963652,384997
120,0.05046989660848411,0.04823006430039598,0.05038573202048081,0.8565371024734982,0.8643301300169587,0.8606965174129353,0.8543236771146462,0.8629148626240253,0.8585526676444681,421289
130,0.05529982402270785,0.05040136317292234,0.056067251423864026,0.8408480565371025,0.8485019785189373,0.8426051560379919,0.840020452341046,0.846792548606741,0.8430131973396296,457339
140,0.05913789998930873,0.05379586862392496,0.05957371624912019,0.8306713780918727,0.8496325607687959,0.8258706467661692,0.8283845721568474,0.8472478966880097,0.8240416684756271,480537
150,0.05476678331344671,0.05299414231302299,0.05520165553793099,0.8463604240282685,0.8501978518937253,0.8462234283129806,0.8438925602051364,0.8481265707301102,0.8438192747313354,498968
160,0.05766350107291183,0.054247372588694026,0.05656919826148222,0.8398586572438163,0.8485019785189373,0.8349163274536409,0.839327624793332,0.8490117195606899,0.833907741560403,519589
170,0.051391547264011433,0.05051047982259387,0.05140576974376602,0.8554063604240283,0.8592425098925947,0.8575305291723202,0.8538584095141076,0.8587135045920525,0.8555584476285322,538860
180,0.05069768334038565,0.04891401830135785,0.050669963494855676,0.858374558303887,0.8705483323911815,0.8634102216191768,0.8571915185630535,0.8701200848837687,0.8616367161443033,557694
190,0.0508277762795943,0.0491027357319319,0.05148930928398929,0.8552650176678446,0.8620689655172413,0.8552691090004523,0.8532354645237109,0.8610020425790451,0.8530333401704782,577155
210,0.050022559424759486,0.04868914066184885,0.04992183420198998,0.8612014134275618,0.8626342566421707,0.862053369516056,0.859682916101721,0.8623266288701008,0.8599893278624902,614230
220,0.0501111663702795,0.04922146579119227,0.050087804390691326,0.8616254416961131,0.8637648388920294,0.862053369516056,0.860723284148819,0.863877301226579,0.8601479086383872,633001
230,0.050524542795957944,0.04942313182255192,0.051425229754516355,0.8532862190812721,0.8586772187676653,0.8570782451379466,0.8512985912743866,0.857628099405306,0.8548550105095963,651532
240,0.04892907401031827,0.0475829724246913,0.04985475580649837,0.8609187279151943,0.8716789146410401,0.8629579375848032,0.8589295776499629,0.8706389025930682,0.8608264833664312,669853
250,0.0498578196502358,0.048451925016731304,0.0501807303388207,0.8595053003533569,0.8660260033917467,0.8638625056535504,0.8581415083127326,0.8657651582390191,0.8618728509165373,688734
260,0.04970825680227395,0.04864597221085593,0.05082620852285504,0.8571024734982332,0.8631995477671001,0.8579828132066938,0.8550338348070874,0.8619176621085718,0.8557580803040629,708990
270,0.04968598982600889,0.04861295261935756,0.05043401565990797,0.8600706713780919,0.8694177501413228,0.8602442333785617,0.8582448669935647,0.8686401034285028,0.8580843662044658,727973
280,0.04907997764513197,0.047763324861441234,0.049335030211274195,0.8620494699646644,0.8728094968908988,0.8638625056535504,0.8608156005075307,0.8727254317769583,0.8620033724066583,748067
290,0.04903148044526573,0.047651611314635384,0.04972333300692093,0.8624734982332155,0.8699830412662521,0.8616010854816825,0.8603830305134047,0.8684858354750349,0.8594923248066999,766766
