10,0,521.0,112
20,1,537.0,212
30,1,559.0,312
40,1,579.0,412
50,1,607.0,512
60,2,621.0,612
70,2,629.0,712
80,2,643.0,812
90,2,659.0,912
110,2,685.0,1112
120,2,687.0,1212
130,3,699.0,1312
140,3,701.0,1412
150,3,709.0,1512
160,3,711.0,1612
170,3,717.0,1712
180,3,723.0,1812
190,3,733.0,1912
210,4,739.0,2112
220,4,751.0,2212
230,4,751.0,2312
240,5,755.0,2412
250,5,757.0,2512
260,5,759.0,2612
270,5,759.0,2712
280,6,759.0,2812
290,6,759.0,2912
310,7,763.0,3112
320,7,765.0,3212
330,7,769.0,3312
340,7,769.0,3412
350,8,769.0,3512
360,8,771.0,3612
370,8,773.0,3712
380,9,777.0,3812
390,9,777.0,3912
410,10,781.0,4112
420,10,783.0,4212
430,10,785.0,4312
440,10,785.0,4412
450,11,787.0,4512
460,11,789.0,4612
470,11,791.0,4712
480,11,791.0,4812
490,12,791.0,4912
510,12,795.0,5112
520,12,795.0,5212
530,13,795.0,5312
540,13,795.0,5412
550,13,797.0,5512
560,13,797.0,5612
570,14,799.0,5712
580,14,799.0,5812
590,14,799.0,5912
610,15,799.0,6112
620,15,799.0,6212
630,15,799.0,6312
640,15,799.0,6412
650,16,799.0,6512
660,16,799.0,6612
670,16,801.0,6712
680,16,801.0,6812
690,17,803.0,6912
710,17,803.0,7112
720,17,803.0,7212
730,18,803.0,7312
740,18,803.0,7412
750,18,803.0,7512
760,18,803.0,7612
770,19,803.0,7712
780,19,803.0,7812
790,19,803.0,7912
810,20,803.0,8112
820,20,805.0,8212
830,20,805.0,8312
840,21,805.0,8412
850,22,805.0,8512
860,22,805.0,8612
870,22,805.0,8712
880,22,805.0,8812
890,23,805.0,8912
910,23,805.0,9112
920,23,805.0,9212
930,24,805.0,9312
940,24,805.0,9412
950,24,805.0,9512
960,25,805.0,9612
970,25,805.0,9712
980,25,807.0,9812
990,25,807.0,9912
1010,26,807.0,10112
1020,26,807.0,10212
1030,26,807.0,10312
1040,27,807.0,10412
1050,27,807.0,10512
1060,27,807.0,10612
1070,27,807.0,10712
1080,28,807.0,10812
1090,28,807.0,10912
1110,28,807.0,11112
1120,29,807.0,11212
1130,29,807.0,11312
1140,29,807.0,11412
1150,29,809.0,11512
1160,30,809.0,11612
1170,30,809.0,11712
1180,30,809.0,11812
1190,30,809.0,11912
1210,31,809.0,12112
1220,31,809.0,12212
1230,32,809.0,12312
1240,32,809.0,12412
1250,32,809.0,12512
1260,32,809.0,12612
1270,33,809.0,12712
1280,33,809.0,12812
1290,33,809.0,12912
1310,33,809.0,13112
1320,33,809.0,13212
1330,33,809.0,13312
1340,34,809.0,13412
1350,34,809.0,13512
1360,34,809.0,13612
1370,34,809.0,13712
1380,35,809.0,13812
1390,35,809.0,13912
1410,35,809.0,14112
1420,36,809.0,14212
1430,36,809.0,14312
1440,36,809.0,14412
1450,36,809.0,14512
1460,37,809.0,14612
1470,37,809.0,14712
1480,37,809.0,14812
1490,37,809.0,14912
1510,38,809.0,15112
1520,38,809.0,15212
1530,38,809.0,15312
1540,38,809.0,15412
1550,39,809.0,15512
1560,39,809.0,15612
1570,39,809.0,15712
1580,40,809.0,15812
1590,40,809.0,15912
1610,41,809.0,16112
1620,41,809.0,16212
1630,41,809.0,16312
1640,42,809.0,16412
1650,42,809.0,16512
1660,42,809.0,16612
1670,42,809.0,16712
1680,43,809.0,16812
1690,43,809.0,16912
1710,44,809.0,17112
1720,44,809.0,17212
1730,44,809.0,17312
1740,44,809.0,17412
1750,45,809.0,17512
1760,45,809.0,17612
1770,45,809.0,17712
1780,45,809.0,17812
1790,46,809.0,17912
1810,46,809.0,18112
1820,47,809.0,18212
1830,47,809.0,18312
1840,47,809.0,18412
1850,47,809.0,18512
1860,48,809.0,18612
1870,48,809.0,18712
1880,48,809.0,18812
1890,49,809.0,18912
1910,49,809.0,19112
1920,49,809.0,19212
1930,50,809.0,19312
1940,50,809.0,19412
1950,50,809.0,19512
1960,51,809.0,19612
1970,51,809.0,19712
1980,51,809.0,19812
1990,51,809.0,19912
2010,52,809.0,20112
2020,52,809.0,20212
2030,52,809.0,20312
2040,53,809.0,20412
2050,53,809.0,20512
2060,53,809.0,20612
2070,53,809.0,20712
2080,54,809.0,20812
2090,54,809.0,20912
2110,55,809.0,21112
2120,55,809.0,21212
2130,55,809.0,21312
2140,55,809.0,21412
2150,56,809.0,21512
2160,56,809.0,21612
2170,56,809.0,21712
2180,56,809.0,21812
2190,57,809.0,21912
2210,57,809.0,22112
2220,58,809.0,22212
2230,58,809.0,22312
2240,58,809.0,22412
2250,58,809.0,22512
2260,59,809.0,22612
2270,59,809.0,22712
2280,59,809.0,22812
2290,59,809.0,22912
2310,60,809.0,23112
2320,60,809.0,23212
2330,60,809.0,23312
2340,61,809.0,23412
2350,61,809.0,23512
2360,61,809.0,23612
2370,62,809.0,23712
2380,62,809.0,23812
2390,62,809.0,23912
2410,63,809.0,24112
2420,63,809.0,24212
2430,63,809.0,24312
2440,64,809.0,24412
2450,64,809.0,24512
2460,64,809.0,24612
2470,64,809.0,24712
2480,65,809.0,24812
2490,65,809.0,24912
2510,65,809.0,25112
2520,66,809.0,25212
2530,66,809.0,25312
2540,66,809.0,25412
2550,66,809.0,25512
2560,67,809.0,25612
2570,67,809.0,25712
2580,67,809.0,25812
2590,68,809.0,25912
2610,71,809.0,26112
2620,72,809.0,26212
2630,73,809.0,26312
2640,75,809.0,26412
2650,76,809.0,26512
2660,79,809.0,26612
2670,80,809.0,26712
